missing_location,location_override
Hoenn Mt Pyre Outside,Hoenn Mt Pyre
Johto Slowpoke Well 1f,Johto Slowpoke Well
Johto Slowpoke Well B1f,Johto Slowpoke Well
Johto Ice Path 1f,Johto Ice Path
Johto Ice Path B1f,Johto Ice Path
Johto Ice Path B2f,Johto Ice Path
Johto Ice Path B3f,Johto Ice Path
Hoenn Cave,XXX
Hoenn Altering Cave,XXX
Kanto Altering Cave,XXX
Hoenn Meteor Falls Back,Hoenn Meteor Falls
Hoenn Meteor Falls B1f,Hoenn Meteor Falls
Hoenn Meteor Falls Backsmall Room,Hoenn Meteor Falls
Hoenn Sky Pillar 1f,Hoenn Sky Pillar
Hoenn Sky Pillar 3f,Hoenn Sky Pillar
Hoenn Sky Pillar 5f,Hoenn Sky Pillar
Johto Ruins Of Alph Outside,Johto Ruins Of Alph
Kanto Mt Ember Cave,Kanto Mt Ember
Kanto Mt Ember Inside,Kanto Mt Ember
Kanto Mt Ember 1f Cave,Kanto Mt Ember
Kanto Mt Ember B1f,Kanto Mt Ember
Kanto Mt Ember B2f,Kanto Mt Ember
Kanto Mt Ember Summit,Kanto Mt Ember
Hoenn New Mauville Entrance,Hoenn New Mauville
Unova Liberty Garden Lighthouse Basement,XXX
Kanto Cinnabar Island Cinnabar Lab,Kanto Cinnabar Island
Johto Ruins Of Alph Interior A,Johto Ruins Of Alph
Johto Ruins Of Alph Interior B,Johto Ruins Of Alph
Johto Ruins Of Alph Interior C,Johto Ruins Of Alph
Johto Ruins Of Alph Interior D,Johto Ruins Of Alph
Kanto Monean Chamber,XXX
Kanto Liptoo Chamber,XXX
Kanto Weepth Chamber,XXX
Kanto Dilford Chamber,XXX
Kanto Scufib Chamber,XXX
Kanto Rixy Chamber,XXX
Kanto Viapos Chamber,XXX
Kanto Mt Ember B3f,Kanto Mt Ember
Roaming Kanto,XXX
Roaming Johto,Johto Roaming Johto
Hoenn Mt Pyre 1f,Hoenn Mt Pyre
Hoenn Mt Pyre 2f,Hoenn Mt Pyre
Hoenn Mt Pyre 3f,Hoenn Mt Pyre
Hoenn Mt Pyre 4f,Hoenn Mt Pyre
Hoenn Mt Pyre 5f,Hoenn Mt Pyre
Hoenn Mt Pyre 6f,Hoenn Mt Pyre
Hoenn Mt Pyre Summit,Hoenn Mt Pyre
Roaming Hoenn,Hoenn Roaming Hoenn
Hoenn Sky Pillar Apex,Hoenn Sky Pillar
Johto Whirl Islands 1f,Johto Whirl Islands
Johto Whirl Islands B1f,Johto Whirl Islands
Johto Whirl Islands B2f,Johto Whirl Islands
Johto Whirl Islands B3f,Johto Whirl Islands
Kanto Mt Moon 1f,Kanto Mt Moon
Kanto Mt Moon B1f,Kanto Mt Moon
Kanto Mt Moon B2f,Kanto Mt Moon
Kanto Rock Tunnel 1f,Kanto Rock Tunnel
Kanto Rock Tunnel B1f,Kanto Rock Tunnel
Kanto Rock Tunnel B2f,Kanto Rock Tunnel
Kanto Seafoam Islands 1f,Kanto Seafoam Islands
Kanto Seafoam Islands B1f,Kanto Seafoam Islands
Kanto Seafoam Islands B2f,Kanto Seafoam Islands
Kanto Seafoam Islands B3f,Kanto Seafoam Islands
Kanto Seafoam Islands B4f,Kanto Seafoam Islands
Johto Route 14,XXX
