id,name,primary_color,secondary_color
1,Bulbasaur,Green,Blue
2,Ivysaur,Green,Blue
3,Venusaur,Green,Purple
4,Charmander,Orange,
5,Charmeleon,Red,
6,Charizard,Orange,Blue
7,Squirtle,Blue,
8,Wartortle,Blue,White
9,Blastoise,Blue,Gray
10,Caterpie,Green,Yellow
11,Metapod,Green,
12,Butterfree,Purple,White
13,Weedle,Yellow,Brown
14,Kakuna,Yellow,
15,Beedrill,Yellow,Black
16,Pidgey,Brown,Cream
17,Pidgeotto,Brown,Cream
18,Pidgeot,Brown,Yellow
19,Rattata,Purple,Cream
20,Raticate,Brown,Cream
21,Spearow,Brown,Cream
22,Fearow,Brown,Red
23,Ekans,Purple,Yellow
24,Arbok,Purple,Yellow
25,Pikachu,Yellow,Black
26,Raichu,Orange,Yellow
27,Sandshrew,Yellow,Brown
28,Sandslash,Yellow,Brown
29,Nidoran♀,Blue,
30,Nidorina,Blue,
31,Nidoqueen,Blue,Purple
32,Nidoran♂,Purple,
33,Nidorino,Purple,
34,Nidoking,Purple,Blue
35,Clefairy,Pink,
36,Clefable,Pink,
37,Vulpix,Orange,Yellow
38,Ninetales,Yellow,Orange
39,Jigglypuff,Pink,
40,Wigglytuff,Pink,
41,Zubat,Purple,Blue
42,Golbat,Purple,Blue
43,Oddish,Blue,Green
44,Gloom,Blue,Red
45,Vileplume,Red,Yellow
46,Paras,Orange,Yellow
47,Parasect,Orange,Yellow
48,Venonat,Purple,Blue
49,Venomoth,Purple,Blue
50,Diglett,Brown,
51,Dugtrio,Brown,
52,Meowth,Yellow,Brown
53,Persian,Yellow,Brown
54,Psyduck,Yellow,
55,Golduck,Blue,
56,Mankey,Brown,
57,Primeape,Brown,
58,Growlithe,Orange,Black
59,Arcanine,Orange,Black
60,Poliwag,Blue,White
61,Poliwhirl,Blue,White
62,Poliwrath,Blue,White
63,Abra,Yellow,
64,Kadabra,Yellow,
65,Alakazam,Yellow,Purple
66,Machop,Gray,
67,Machoke,Gray,Red
68,Machamp,Gray,Red
69,Bellsprout,Green,Yellow
70,Weepinbell,Green,Yellow
71,Victreebel,Green,Red
72,Tentacool,Blue,Red
73,Tentacruel,Blue,Red
74,Geodude,Gray,
75,Graveler,Gray,
76,Golem,Gray,Brown
77,Ponyta,Orange,Yellow
78,Rapidash,Orange,Yellow
79,Slowpoke,Pink,
80,Slowbro,Pink,Gray
81,Magnemite,Gray,
82,Magneton,Gray,
83,Farfetch’d,Brown,
84,Doduo,Brown,
85,Dodrio,Brown,
86,Seel,White,Blue
87,Dewgong,White,Blue
88,Grimer,Purple,
89,Muk,Purple,
90,Shellder,Purple,White
91,Cloyster,Purple,White
92,Gastly,Purple,Black
93,Haunter,Purple,Black
94,Gengar,Purple,Black
95,Onix,Gray,
96,Drowzee,Yellow,Brown
97,Hypno,Yellow,Brown
98,Krabby,Red,White
99,Kingler,Red,White
100,Voltorb,Red,White
101,Electrode,Red,White
102,Exeggcute,Pink,
103,Exeggutor,Yellow,Green
104,Cubone,Brown,
105,Marowak,Brown,
106,Hitmonlee,Brown,
107,Hitmonchan,Brown,Red
108,Lickitung,Pink,
109,Koffing,Purple,
110,Weezing,Purple,Gray
111,Rhyhorn,Gray,Brown
112,Rhydon,Gray,Brown
113,Chansey,Pink,
114,Tangela,Blue,
115,Kangaskhan,Brown,
116,Horsea,Blue,
117,Seadra,Blue,
118,Goldeen,Orange,White
119,Seaking,Orange,White
120,Staryu,Brown,
121,Starmie,Purple,Blue
122,Mr. Mime,Pink,White
123,Scyther,Green,
124,Jynx,Red,Purple
125,Electabuzz,Yellow,Black
126,Magmar,Red,Yellow
127,Pinsir,Brown,
128,Tauros,Brown,
129,Magikarp,Orange,White
130,Gyarados,Blue,Red
131,Lapras,Blue,White
132,Ditto,Purple,
133,Eevee,Brown,Cream
134,Vaporeon,Blue,White
135,Jolteon,Yellow,White
136,Flareon,Red,Yellow
137,Porygon,Pink,Blue
138,Omanyte,Blue,Red
139,Omastar,Blue,Red
140,Kabuto,Brown,Gray
141,Kabutops,Brown,Gray
142,Aerodactyl,Grey,Purple
143,Snorlax,Blue,White
144,Articuno,Blue,White
145,Zapdos,Yellow,Black
146,Moltres,Red,Yellow
147,Dratini,Blue,
148,Dragonair,Blue,White
149,Dragonite,Orange,Green
150,Mewtwo,Purple,
151,Mew,Pink,
152,Chikorita,Green,
153,Bayleef,Green,
154,Meganium,Green,Yellow
155,Cyndaquil,Blue,Red
156,Quilava,Blue,Red
157,Typhlosion,Blue,Red
158,Totodile,Blue,
159,Croconaw,Blue,
160,Feraligatr,Blue,Red
161,Sentret,Brown,
162,Furret,Brown,
163,Hoothoot,Brown,Red
164,Noctowl,Brown,Red
165,Ledyba,Red,Black
166,Ledian,Red,Black
167,Spinarak,Green,Red
168,Ariados,Red,Yellow
169,Crobat,Purple,Blue
170,Chinchou,Blue,Yellow
171,Lanturn,Blue,Yellow
172,Pichu,Yellow,
173,Cleffa,Pink,
174,Igglybuff,Pink,
175,Togepi,White,Red
176,Togetic,White,Red
177,Natu,Green,Red
178,Xatu,Green,Red
179,Mareep,Yellow,Blue
180,Flaaffy,Yellow,Blue
181,Ampharos,Yellow,Black
182,Bellossom,Green,Red
183,Marill,Blue,
184,Azumarill,Blue,White
185,Sudowoodo,Brown,Green
186,Politoed,Green,
187,Hoppip,Pink,Green
188,Skiploom,Pink,Green
189,Jumpluff,Blue,White
190,Aipom,Purple,
191,Sunkern,Yellow,Orange
192,Sunflora,Yellow,Red
193,Yanma,Red,Green
194,Wooper,Blue,
195,Quagsire,Blue,
196,Espeon,Purple,Pink
197,Umbreon,Black,Yellow
198,Murkrow,Black,Red
199,Slowking,Pink,Gray
200,Misdreavus,Purple,
201,Unown,Black,
202,Wobbuffet,Blue,Black
203,Girafarig,Yellow,Brown
204,Pineco,Green,
205,Forretress,Gray,Red
206,Dunsparce,Yellow,Blue
207,Gligar,Purple,Red
208,Steelix,Gray,
209,Snubbull,Pink,Blue
210,Granbull,Pink,Blue
211,Qwilfish,Blue,Red
212,Scizor,Red,Gray
213,Shuckle,Red,Yellow
214,Heracross,Blue,
215,Sneasel,Black,Red
216,Teddiursa,Brown,
217,Ursaring,Brown,
218,Slugma,Red,Yellow
219,Magcargo,Red,Orange
220,Swinub,Brown,Gray
221,Piloswine,Brown,Gray
222,Corsola,Pink,White
223,Remoraid,Blue,Red
224,Octillery,Red,Blue
225,Delibird,Red,White
226,Mantine,Blue,White
227,Skarmory,Gray,Red
228,Houndour,Black,Red
229,Houndoom,Black,Red
230,Kingdra,Blue,Yellow
231,Phanpy,Blue,
232,Donphan,Gray,
233,Porygon2,Pink,Blue
234,Stantler,Brown,
235,Smeargle,White,Brown
236,Tyrogue,Brown,
237,Hitmontop,Brown,
238,Smoochum,Pink,Yellow
239,Elekid,Yellow,Black
240,Magby,Red,Yellow
241,Miltank,Pink,
242,Blissey,Pink,
243,Raikou,Yellow,Black
244,Entei,Red,Yellow
245,Suicune,Blue,White
246,Larvitar,Green,Red
247,Pupitar,Gray,Blue
248,Tyranitar,Green,Black
249,Lugia,White,Blue
250,Ho-Oh,Red,Yellow
251,Celebi,Green,Blue
252,Treecko,Green,
253,Grovyle,Green,
254,Sceptile,Green,Red
255,Torchic,Orange,Yellow
256,Combusken,Red,Orange
257,Blaziken,Red,White
258,Mudkip,Blue,Orange
259,Marshtomp,Blue,Orange
260,Swampert,Blue,Orange
261,Poochyena,Gray,Black
262,Mightyena,Gray,Black
263,Zigzagoon,Brown,White
264,Linoone,Brown,White
265,Wurmple,Red,
266,Silcoon,Red,
267,Beautifly,Yellow,Red
268,Cascoon,Green,
269,Dustox,Green,Purple
270,Lotad,Blue,Green
271,Lombre,Blue,Green
272,Ludicolo,Green,Blue
273,Seedot,Brown,
274,Nuzleaf,Brown,Green
275,Shiftry,Brown,White
276,Taillow,Blue,White
277,Swellow,Blue,Red
278,Wingull,Blue,White
279,Pelipper,White,Blue
280,Ralts,White,Green
281,Kirlia,White,Green
282,Gardevoir,White,Green
283,Surskit,Blue,Black
284,Masquerain,Blue,Red
285,Shroomish,Brown,
286,Breloom,Green,Red
287,Slakoth,Brown,
288,Vigoroth,Gray,White
289,Slaking,Brown,Gray
290,Nincada,Brown,White
291,Ninjask,Yellow,Black
292,Shedinja,Brown,
293,Whismur,Pink,
294,Loudred,Red,
295,Exploud,Blue,Red
296,Makuhita,Yellow,
297,Hariyama,Yellow,Red
298,Azurill,Blue,
299,Nosepass,Gray,
300,Skitty,Pink,White
301,Delcatty,Pink,White
302,Sableye,Purple,Yellow
303,Mawile,Yellow,Black
304,Aron,Gray,Blue
305,Lairon,Gray,Blue
306,Aggron,Gray,Blue
307,Meditite,Blue,Red
308,Medicham,Blue,Red
309,Electrike,Green,Yellow
310,Manectric,Yellow,Blue
311,Plusle,Red,
312,Minun,Blue,
313,Volbeat,Red,
314,Illumise,Purple,
315,Roselia,Green,Red
316,Gulpin,Green,
317,Swalot,Purple,
318,Carvanha,Red,Blue
319,Sharpedo,Blue,Yellow
320,Wailmer,Blue,
321,Wailord,Blue,
322,Numel,Yellow,Red
323,Camerupt,Red,Yellow
324,Torkoal,Brown,Orange
325,Spoink,Gray,Black
326,Grumpig,Purple,Gray
327,Spinda,Brown,Red
328,Trapinch,Yellow,Brown
329,Vibrava,Green,Blue
330,Flygon,Green,Red
331,Cacnea,Green,
332,Cacturne,Green,Black
333,Swablu,Blue,White
334,Altaria,Blue,White
335,Zangoose,White,Red
336,Seviper,Purple,Red
337,Lunatone,Yellow,Gray
338,Solrock,Red,Yellow
339,Barboach,Blue,Gray
340,Whiscash,Blue,Gray
341,Corphish,Red,
342,Crawdaunt,Red,Blue
343,Baltoy,Beige,Red
344,Claydol,Black,Red
345,Lileep,Purple,Red
346,Cradily,Green,Purple
347,Anorith,Green,Gray
348,Armaldo,Blue,Gray
349,Feebas,Blue,Brown
350,Milotic,Blue,Red
351,Castform,White,
352,Kecleon,Green,Yellow
353,Shuppet,Purple,
354,Banette,Purple,
355,Duskull,Purple,Black
356,Dusclops,Purple,Black
357,Tropius,Green,Yellow
358,Chimecho,Blue,
359,Absol,White,Black
360,Wynaut,Blue,
361,Snorunt,White,Blue
362,Glalie,Gray,Blue
363,Spheal,Blue,White
364,Sealeo,Blue,White
365,Walrein,Blue,White
366,Clamperl,Blue,
367,Huntail,Blue,Red
368,Gorebyss,Red,Blue
369,Relicanth,Blue,Brown
370,Luvdisc,Red,
371,Bagon,Blue,
372,Shelgon,Blue,
373,Salamence,Blue,Red
374,Beldum,Blue,
375,Metang,Blue,
376,Metagross,Gray,Blue
377,Regirock,Gray,
378,Regice,Blue,
379,Registeel,Gray,
380,Latias,Red,White
381,Latios,Blue,White
382,Kyogre,Blue,White
383,Groudon,Red,Yellow
384,Rayquaza,Green,Yellow
385,Jirachi,Yellow,Blue
386,Deoxys,Red,Blue
