id,name,primary_color,secondary_color
1,Bulbasaur,Green,Blue
2,Ivysaur,Green,Blue
3,Venusaur,Green,Purple
4,Charmander,Orange,
5,Charmeleon,Red,
6,Charizard,Orange,Blue
7,Squirtle,Blue,
8,Wartortle,Blue,White
9,Blastoise,Blue,Gray
10,Caterpie,Green,Yellow
11,Metapod,Green,
12,Butterfree,Purple,White
13,Weedle,Yellow,Brown
14,Kakuna,Yellow,
15,Beedrill,Yellow,Black
16,Pidgey,Brown,Cream
17,Pidgeotto,Brown,Cream
18,Pidgeot,Brown,Yellow
19,Rattata,Purple,Cream
20,Raticate,Brown,Cream
21,Spearow,Brown,Cream
22,Fearow,Brown,Red
23,Ekans,Purple,Yellow
24,Arbok,Purple,Yellow
25,Pikachu,Yellow,Black
26,Raichu,Orange,Yellow
27,Sandshrew,Yellow,Brown
28,Sandslash,Yellow,Brown
29,Nidoran♀,Blue,
30,Nidorina,Blue,
31,Nidoqueen,Blue,Purple
32,Nidoran♂,Purple,
33,Nidorino,Purple,
34,Nidoking,Purple,Blue
35,Clefairy,Pink,
36,Clefable,Pink,
37,Vulpix,Orange,Yellow
38,Ninetales,Yellow,Orange
39,Jigglypuff,Pink,
40,Wigglytuff,Pink,
41,Zubat,Purple,Blue
42,Golbat,Purple,Blue
43,Oddish,Blue,Green
44,Gloom,Blue,Red
45,Vileplume,Red,Yellow
46,Paras,Orange,Yellow
47,Parasect,Orange,Yellow
48,Venonat,Purple,Blue
49,Venomoth,Purple,Blue
50,Diglett,Brown,
51,Dugtrio,Brown,
52,Meowth,Yellow,Brown
53,Persian,Yellow,Brown
54,Psyduck,Yellow,
55,Golduck,Blue,
56,Mankey,Brown,
57,Primeape,Brown,
58,Growlithe,Orange,Black
59,Arcanine,Orange,Black
60,Poliwag,Blue,White
61,Poliwhirl,Blue,White
62,Poliwrath,Blue,White
63,Abra,Yellow,
64,Kadabra,Yellow,
65,Alakazam,Yellow,Purple
66,Machop,Gray,
67,Machoke,Gray,Red
68,Machamp,Gray,Red
69,Bellsprout,Green,Yellow
70,Weepinbell,Green,Yellow
71,Victreebel,Green,Red
72,Tentacool,Blue,Red
73,Tentacruel,Blue,Red
74,Geodude,Gray,
75,Graveler,Gray,
76,Golem,Gray,Brown
77,Ponyta,Orange,Yellow
78,Rapidash,Orange,Yellow
79,Slowpoke,Pink,
80,Slowbro,Pink,Gray
81,Magnemite,Gray,
82,Magneton,Gray,
83,Farfetch’d,Brown,
84,Doduo,Brown,
85,Dodrio,Brown,
86,Seel,White,Blue
87,Dewgong,White,Blue
88,Grimer,Purple,
89,Muk,Purple,
90,Shellder,Purple,White
91,Cloyster,Purple,White
92,Gastly,Purple,Black
93,Haunter,Purple,Black
94,Gengar,Purple,Black
95,Onix,Gray,
96,Drowzee,Yellow,Brown
97,Hypno,Yellow,Brown
98,Krabby,Red,White
99,Kingler,Red,White
100,Voltorb,Red,White
101,Electrode,Red,White
102,Exeggcute,Pink,
103,Exeggutor,Yellow,Green
104,Cubone,Brown,
105,Marowak,Brown,
106,Hitmonlee,Brown,
107,Hitmonchan,Brown,Red
108,Lickitung,Pink,
109,Koffing,Purple,
110,Weezing,Purple,Gray
111,Rhyhorn,Gray,Brown
112,Rhydon,Gray,Brown
113,Chansey,Pink,
114,Tangela,Blue,
115,Kangaskhan,Brown,
116,Horsea,Blue,
117,Seadra,Blue,
118,Goldeen,Orange,White
119,Seaking,Orange,White
120,Staryu,Brown,
121,Starmie,Purple,Blue
122,Mr. Mime,Pink,White
123,Scyther,Green,
124,Jynx,Red,Purple
125,Electabuzz,Yellow,Black
126,Magmar,Red,Yellow
127,Pinsir,Brown,
128,Tauros,Brown,
129,Magikarp,Orange,White
130,Gyarados,Blue,Red
131,Lapras,Blue,White
132,Ditto,Purple,
133,Eevee,Brown,Cream
134,Vaporeon,Blue,White
135,Jolteon,Yellow,White
136,Flareon,Red,Yellow
137,Porygon,Pink,Blue
138,Omanyte,Blue,Red
139,Omastar,Blue,Red
140,Kabuto,Brown,Gray
141,Kabutops,Brown,Gray
142,Aerodactyl,Grey,Purple
143,Snorlax,Blue,White
144,Articuno,Blue,White
145,Zapdos,Yellow,Black
146,Moltres,Red,Yellow
147,Dratini,Blue,
148,Dragonair,Blue,White
149,Dragonite,Orange,Green
150,Mewtwo,Purple,
151,Mew,Pink,
